Lambda_Diff,Distance
0.552,5115.116
0.568,3305.6
0.872,5164.941
0.064,5246.932
0.08,5359.611
1.048,5501.094
0.544,5669.225
1.152,5861.711
0.464,6076.238
1.832,6310.559
3.344,6562.553
2.424,6830.332
1.32,3718.8
1.728,6881.393
0.984,6667.165
1.216,6472.254
1.048,6298.455
0.936,6147.557
1.2,6021.283
0.6,5921.208
0.632,5848.678
0.656,5804.725
0.464,5790.0
0.992,3305.6
2.952,4132.0
0.688,5804.725
0.776,5848.678
0.072,5921.208
0.12,6021.283
0.736,6147.557
0.872,6298.455
1.608,6472.254
1.072,6667.165
2.744,6881.393
3.56,7113.194
0.752,4545.3
2.896,7360.968
2.224,7418.858
1.328,7220.594
0.976,7041.02
1.752,6881.6
0.928,6743.763
0.648,6628.856
0.96,6538.088
0.864,6472.474
0.808,6432.784
2.0,3771.703
0.744,6419.5
0.048,6432.784
0.192,6472.474
0.2,6538.088
0.128,6628.856
1.312,6743.763
1.144,6881.6
1.304,7041.02
0.84,7220.594
2.168,7418.858
1.864,3365.005
3.624,7634.357
2.632,7865.732
1.832,7969.899
0.928,7785.679
0.912,7619.435
1.672,7472.365
1.24,7345.622
0.336,7240.273
1.008,7157.263
0.72,7097.376
0.976,2960.109
0.536,7061.2
0.56,7049.1
0.616,7061.2
0.392,7097.376
0.336,7157.263
0.152,7240.273
0.968,7345.622
0.92,7472.365
1.368,7619.435
0.04,7785.679
1.248,2557.871
2.68,7969.899
3.92,8170.877
1.08,8531.772
1.104,8359.944
1.12,8205.342
1.064,8068.959
0.656,7951.731
0.728,7854.515
0.28,7778.064
0.76,2159.775
0.776,7722.992
0.112,7689.759
0.496,7678.65
0.104,7689.759
0.248,7722.992
0.288,7778.064
0.856,7854.515
0.848,7951.731
0.736,8068.959
1.76,8205.342
0.44,1768.62
1.104,8359.944
2.896,8531.772
3.944,8719.81
2.648,8923.083
0.76,1390.28
0.28,1038.849
0.36,2892.4
0.408,752.997
0.488,629.5
0.032,752.997
0.744,1038.849
0.136,1390.28
0.064,1768.62
1.568,2159.775
0.0,2557.871
0.048,2960.109
0.344,3365.005
0.36,2479.2
1.48,3771.703
2.256,4179.676
0.888,4588.684
1.64,3926.169
1.144,3537.276
0.848,3154.57
1.056,2780.605
0.84,2419.44
0.424,2077.759
0.568,1766.902
0.632,2066.0
1.0,1506.078
0.376,1325.167
0.584,1259.1
0.56,1325.167
0.352,1506.078
0.264,1766.902
0.008,2077.759
1.56,2419.44
0.784,2780.605
0.912,3154.57
0.296,1652.8
0.232,3537.276
1.504,3926.169
2.504,4319.578
1.448,4716.47
1.744,4170.885
1.448,3807.073
1.112,3454.387
1.328,3116.608
0.936,2799.137
0.384,2509.693
0.272,1239.6
1.224,2259.075
0.68,2061.491
0.336,1933.273
0.568,1888.6
0.448,1933.273
0.072,2061.491
0.336,2259.075
0.064,2509.693
1.592,2799.137
0.032,3116.608
0.168,826.4
0.384,3454.387
0.472,3807.073
0.696,4170.885
1.44,4922.049
1.336,4491.192
1.184,4155.517
0.976,3835.011
1.56,3533.803
1.264,3257.251
0.248,413.2
1.0,3012.155
1.016,2806.767
1.16,2650.334
0.192,2551.875
0.744,2518.2
0.488,2551.875
0.48,2650.334
0.288,2806.767
0.176,3012.155
1.424,3257.251
0.288,413.2
0.144,826.4
0.816,1239.6
2.248,1652.8
1.336,2066.1
1.792,6236.455
2.232,5825.983
1.2,5415.926
1.48,5006.386
0.192,3257.251
1.568,4597.501
1.368,4189.463
1.296,3782.545
1.352,3377.153
1.648,2973.912
0.976,2573.831
0.92,2178.653
1.0,1791.625
0.536,1419.43
0.392,1077.548
0.624,3012.155
1.832,805.547
0.184,691.5
0.856,805.547
0.232,1077.548
1.152,1419.43
2.2,1791.625
1.536,2178.748
2.264,6337.232
1.728,5933.735
1.416,5531.672
0.336,2806.767
1.84,5131.378
1.856,4733.302
1.536,4338.056
1.528,3946.489
1.0,3559.817
1.168,3179.824
1.208,2809.224
0.944,2452.277
0.8,2115.905
0.616,1811.605
0.368,2650.334
0.456,1558.282
2.272,1384.211
0.08,1321.1
0.872,1384.211
0.192,1558.282
2.68,2115.905
1.144,2452.361
1.872,6497.725
1.68,6104.846
1.296,2551.875
1.288,5714.833
2.024,5328.317
1.432,4946.117
1.208,4569.317
1.808,4199.369
1.472,3838.258
1.224,3488.726
1.48,3154.626
0.936,2841.406
0.848,2556.752
0.12,2518.2
0.832,2311.242
0.584,2118.53
1.952,1993.982
0.256,1950.7
0.696,1993.982
0.232,2118.53
1.168,2311.242
3.392,2556.752
1.936,2841.478
1.936,6713.616
0.624,2551.875
2.16,6334.141
1.6,5959.154
2.408,5589.558
2.104,5226.497
1.64,4871.433
1.768,4526.246
1.888,4193.379
1.408,3876.004
1.472,3578.249
0.968,3305.418
0.152,2650.334
1.288,3064.177
0.352,2862.523
0.496,2709.312
1.464,2613.076
0.128,2580.2
0.736,2613.076
0.048,2709.312
1.416,2862.523
2.928,3064.177
2.008,3305.48
0.904,2806.767
2.144,7008.558
1.4,6645.945
1.632,6289.576
1.464,5940.573
1.352,5600.314
1.616,5270.493
1.016,4953.196
1.048,4650.986
1.072,4366.996
0.88,4105.01
1.408,6309.14
2.536,3012.155
1.104,3869.5
1.192,3665.573
0.344,3498.755
0.296,3374.554
1.152,3297.789
0.456,3271.8
1.192,3297.789
0.656,3374.554
2.328,3498.755
3.144,3665.573
0.336,3257.315
2.48,3869.554
2.64,7323.616
1.744,6977.396
1.392,6638.842
2.168,6309.19
1.344,5989.907
1.064,5682.743
1.376,5389.769
1.28,5113.427
1.224,4856.554
2.416,6479.382
1.16,4622.399
0.368,4414.578
0.608,4236.967
0.616,4093.501
0.544,3987.866
1.728,3923.121
0.728,3901.3
0.888,3923.121
0.424,3987.866
1.752,4093.501
2.28,6085.318
3.208,4236.967
2.216,4414.625
2.248,7677.516
1.344,7347.991
1.328,7027.314
2.088,6716.754
1.656,6417.78
0.752,6132.086
1.424,5861.615
1.136,5608.569
1.392,5693.968
0.952,5375.41
0.976,5164.832
1.032,4979.7
0.808,4822.945
0.752,4697.41
0.264,4605.648
1.384,4549.702
0.504,4530.9
0.952,4549.702
0.456,4605.648
1.664,5305.932
2.264,4697.41
3.504,4822.945
1.496,8065.076
1.52,7752.042
1.536,7448.78
1.48,7156.534
1.072,6876.706
1.144,6610.875
0.696,6360.795
1.176,4921.995
1.192,6128.396
0.528,5915.76
0.912,5725.092
0.52,5558.651
0.664,5418.671
0.128,5307.245
0.44,5226.201
1.264,5176.966
0.32,5160.45
1.344,5176.966
0.856,4543.194
0.688,5226.201
2.48,5307.245
3.528,5418.671
2.232,5558.688
1.176,4170.93
0.696,3807.122
0.776,5932.573
0.824,3454.441
0.904,3116.668
0.384,2799.204
1.16,2509.768
0.552,2259.158
0.48,2061.583
1.984,1933.371
0.416,1888.7
0.368,1933.371
0.76,2061.583
0.776,5561.21
1.064,2259.158
1.84,2509.768
0.472,2799.278
2.056,6324.598
1.56,5920.24
1.264,5517.193
1.472,5115.766
1.256,4716.373
0.84,4319.578
0.984,3926.169
1.048,5196.169
1.416,3537.276
0.792,3154.57
1.0,2780.605
0.976,2419.44
0.768,2077.759
0.68,1766.902
0.424,1506.078
1.976,1325.167
0.368,1259.1
0.496,1325.167
0.712,4838.88
0.648,1506.078
1.088,1766.902
2.088,2077.759
1.032,2419.525
2.16,6229.896
1.864,5818.961
1.528,5408.372
1.744,4998.212
1.352,4588.599
0.8,4179.691
0.688,4491.192
1.64,3771.72
1.096,3365.024
0.752,2960.131
0.984,2557.895
0.864,2159.804
0.488,1768.656
0.752,1390.325
0.352,1038.91
2.008,753.081
0.384,629.6
0.248,4155.517
0.032,753.081
0.888,1038.91
0.28,1390.325
1.024,2159.899
1.752,6198.0
1.6,5784.8
1.392,5371.6
1.976,4958.4
1.68,4545.2
0.168,3835.011
1.416,4132.0
1.432,3718.8
1.576,3305.6
0.608,2892.4
1.16,2479.2
0.904,2066.0
0.896,1652.8
0.704,1239.6
0.24,826.4
1.84,413.2
0.432,413.2
0.528,826.4
1.96,1239.6
1.048,1652.9
2.08,6647.265
2.52,6236.455
1.488,5825.983
1.768,5415.926
0.096,3533.803
1.856,5006.386
1.656,4597.501
1.584,4189.463
1.64,3782.545
1.936,3377.153
1.264,2973.912
1.208,2573.831
1.288,2178.653
0.824,1791.625
0.68,1419.43
0.912,3257.251
2.12,1077.548
0.104,805.547
0.568,691.5
0.056,805.547
0.864,1077.548
1.912,1419.43
1.248,1791.717
2.552,6741.904
2.016,6337.232
1.704,5933.735
0.624,3012.155
2.128,5531.672
2.144,5131.378
1.824,4733.302
1.816,4338.056
1.288,3946.489
1.456,3559.817
1.496,3179.824
1.232,2809.224
1.088,2452.277
0.904,2115.905
0.08,2806.767
0.744,1811.605
2.56,1558.282
0.368,1384.211
0.584,1321.1
0.096,1384.211
2.392,1811.605
0.856,2115.983
2.16,6892.982
1.968,6497.725
1.584,2650.334
1.576,6104.846
2.312,5714.833
1.72,5328.317
1.496,4946.117
2.096,4569.317
1.76,4199.369
1.512,3838.258
1.768,3488.726
1.224,3154.626
1.136,2841.406
0.168,2551.875
1.12,2556.752
0.872,2311.242
2.24,2118.53
0.032,1993.982
0.408,1950.7
0.52,1993.982
0.88,2118.53
3.104,2311.242
1.648,2556.816
2.224,7096.858
0.336,2518.2
2.448,6713.616
1.888,6334.141
2.696,5959.154
2.392,5589.558
1.928,5226.497
2.056,4871.433
2.176,4526.246
1.696,4193.379
1.76,3876.004
1.256,3578.249
0.136,2551.875
1.576,3305.418
0.64,3064.177
0.784,2862.523
1.752,2709.312
0.16,2613.076
0.448,2580.2
0.24,2613.076
1.128,2709.312
2.64,2862.523
1.72,3064.231
0.616,2650.334
2.432,7376.492
1.688,7008.558
1.92,6645.945
1.752,6289.576
1.64,5940.573
1.904,5600.314
1.304,5270.493
1.336,4953.196
1.36,4650.986
1.168,4366.996
1.696,6690.033
2.248,2806.767
1.392,4105.01
1.48,3869.5
0.632,3665.573
0.584,3498.755
1.44,3374.554
0.168,3297.789
0.904,3271.8
0.368,3297.789
2.04,3374.554
2.856,3498.755
0.048,3012.21
2.192,3665.618
2.928,7676.464
2.032,7323.616
1.68,6977.396
2.456,6638.842
1.632,6309.19
1.352,5989.907
1.664,5682.743
1.568,5389.769
1.512,5113.427
2.704,6875.693
1.448,4856.554
0.656,4622.399
0.896,4414.578
0.904,4236.967
0.832,4093.501
2.016,3987.866
0.44,3923.121
0.6,3901.3
0.136,3923.121
1.464,3987.866
2.568,6479.382
