MR4_100_1,"[1556.36, 1536.872, 1546.568]"
MR4_100_10,"[1536.296, 1555.776, 1545.976]"
MR4_100_100,"[1536.336, 1555.8, 1546.0]"
MR4_100_101,"[1556.248, 1536.784, 1546.456]"
MR4_100_102,"[1556.384, 1536.92, 1546.592]"
MR4_100_103,"[1536.032, 1545.688, 1555.472]"
MR4_100_104,"[1564.904, 1535.576, 1545.232, 1555.0]"
MR4_100_105,"[1545.544, 1535.888, 1555.312]"
MR4_100_106,"[1536.704, 1546.384, 1556.176]"
MR4_100_107,"[1536.28, 1545.944, 1555.736]"
MR4_100_108,"[1536.6, 1546.28, 1556.072]"
MR4_100_109,"[1536.488, 1555.968, 1546.168]"
MR4_100_11,"[1536.448, 1546.12, 1555.92]"
MR4_100_110,"[1536.376, 1555.848, 1546.04]"
MR4_100_111,"[1555.672, 1536.208, 1545.872]"
MR4_100_112,"[1536.392, 1546.064, 1555.864]"
MR4_100_113,"[1556.08, 1536.6, 1546.288]"
MR4_100_114,"[1556.696, 1546.888, 1537.208]"
MR4_100_115,"[1546.784, 1556.584, 1537.104]"
MR4_100_116,"[1536.72, 1556.192, 1546.4]"
MR4_100_117,"[1536.664, 1546.336, 1556.136]"
MR4_100_118,"[1556.096, 1546.296, 1536.624]"
MR4_100_119,"[1536.712, 1556.184, 1546.392]"
MR4_100_12,"[1536.52, 1555.992, 1546.192]"
MR4_100_120,"[1556.4, 1536.92, 1546.6]"
MR4_100_121,"[1555.912, 1536.44, 1546.112]"
MR4_100_122,"[1536.32, 1545.984, 1555.776]"
MR4_100_123,"[1536.128, 1555.576, 1545.784]"
MR4_100_124,"[1555.272, 1535.832, 1545.496]"
MR4_100_125,"[1564.952, 1535.616, 1555.048, 1545.28]"
MR4_100_126,"[1564.808, 1554.904, 1535.464, 1545.128]"
MR4_100_127,"[1556.48, 1546.68, 1536.984]"
MR4_100_128,"[1556.192, 1546.4, 1536.712]"
MR4_100_129,"[1536.376, 1546.056, 1555.856]"
MR4_100_13,"[1555.96, 1536.48, 1546.16]"
MR4_100_130,"[1536.648, 1546.328, 1556.128]"
MR4_100_131,"[1536.536, 1556.016, 1546.216]"
MR4_100_132,"[1536.688, 1546.376, 1556.176]"
MR4_100_133,"[1556.592, 1546.792, 1537.104]"
MR4_100_134,"[1536.72, 1546.408, 1556.2]"
MR4_100_135,"[1555.768, 1545.984, 1536.32]"
MR4_100_136,"[1536.424, 1546.088, 1555.888]"
MR4_100_138,"[1556.464, 1546.672, 1536.984]"
MR4_100_139,"[1536.528, 1556.008, 1546.2]"
MR4_100_14,"[1536.856, 1556.328, 1546.536]"
MR4_100_140,"[1556.328, 1536.856, 1546.536]"
MR4_100_141,"[1556.208, 1546.416, 1536.728]"
MR4_100_142,"[1536.056, 1555.512, 1545.728]"
MR4_100_143,"[1536.2, 1555.656, 1545.864]"
MR4_100_144,"[1536.288, 1545.944, 1555.736]"
MR4_100_145,"[1535.68, 1555.128, 1565.0, 1545.344]"
MR4_100_146,"[1564.488, 1535.176, 1554.584, 1544.816, 1564.488, 1564.488, 1564.488, 1535.176]"
MR4_100_147,"[1564.768, 1554.88, 1535.448, 1545.104]"
MR4_100_148,"[1546.36, 1536.68, 1556.152]"
MR4_100_149,"[1536.584, 1556.072, 1546.272]"
MR4_100_15,"[1546.744, 1556.536, 1537.056]"
MR4_100_150,"[1536.208, 1555.672, 1545.872]"
MR4_100_151,"[1536.512, 1555.984, 1546.176]"
MR4_100_152,"[1536.632, 1556.112, 1546.312]"
MR4_100_153,"[1536.912, 1556.4, 1546.6]"
MR4_100_154,"[1556.256, 1536.776, 1546.456]"
MR4_100_155,"[1536.784, 1556.256, 1546.472]"
MR4_100_156,"[1536.76, 1556.232, 1546.44]"
MR4_100_157,"[1556.296, 1536.816, 1546.504]"
MR4_100_158,"[1536.616, 1556.088, 1546.288]"
MR4_100_159,"[1556.512, 1546.712, 1537.024]"
MR4_100_16,"[1556.176, 1546.392, 1536.712]"
MR4_100_160,"[1536.56, 1556.032, 1546.232]"
MR4_100_161,"[1556.144, 1536.672, 1546.352]"
MR4_100_162,"[1556.088, 1536.616, 1546.296]"
MR4_100_163,"[1535.76, 1555.208, 1545.432]"
MR4_100_164,"[1545.72, 1555.504, 1536.056]"
MR4_100_165,"[1546.136, 1536.472, 1555.928]"
MR4_100_166,"[1554.976, 1564.888, 1535.536, 1545.192]"
MR4_100_167,"[1563.936, 1544.264, 1554.024, 1563.936, 1544.264, 1544.264, 1544.264]"
