Lambda_Diff,Distance
0.592,3718.8
0.568,6690.033
0.112,7074.553
0.024,7462.14
0.88,7852.339
1.336,8244.78
1.024,8639.252
0.184,3209.7
0.624,3236.187
0.288,3314.379
0.4,3440.753
0.448,4132.0
0.528,3610.252
0.696,3817.136
0.504,4055.688
0.28,4320.666
0.32,4607.512
0.216,4912.397
0.168,5232.17
0.232,5564.262
0.272,5906.598
0.176,6257.496
0.376,4545.2
0.032,6615.594
0.456,6979.784
0.584,7349.159
0.784,7722.977
1.072,8100.621
1.288,8481.582
1.44,8865.524
0.112,3839.3
0.168,3861.471
0.512,3927.233
0.408,4958.4
0.24,4034.456
0.352,4179.949
0.192,4359.883
0.224,4570.192
0.16,4806.891
0.584,5066.282
0.48,5345.063
0.104,5949.712
0.368,6271.041
0.032,5371.6
0.032,6602.599
0.152,6942.92
0.84,7290.777
0.704,7645.142
0.624,8005.15
1.224,8370.073
1.752,8739.295
1.464,9112.386
0.208,4468.9
0.296,4487.962
0.176,5784.8
0.696,4544.668
0.392,4637.637
0.256,4764.747
0.032,4923.355
0.112,5110.528
0.096,5323.255
0.128,5558.602
0.064,5813.823
0.28,6086.419
0.144,6374.16
0.176,6198.0
0.336,6675.088
0.216,6987.5
0.272,7309.923
1.136,7641.091
0.848,7979.914
0.432,8325.459
1.376,8676.921
2.304,9033.611
1.952,9395.021
0.544,5098.4
0.344,6611.2
0.272,5115.116
0.304,5164.941
0.344,5246.932
0.072,5359.611
0.528,5501.094
0.184,5669.225
0.024,5861.711
0.144,6076.238
0.016,6310.559
0.144,6562.553
0.32,7024.4
0.0,6830.265
0.448,7111.92
0.464,7405.928
0.376,7710.875
1.12,8025.515
1.232,8348.751
0.968,8679.624
1.888,9017.293
2.44,9361.023
1.848,9710.254
0.176,7437.6
0.44,5790.0
0.312,5804.725
0.512,5848.678
0.128,5921.208
0.104,6021.283
0.456,6147.557
0.016,6298.455
0.024,6472.254
0.256,6667.165
0.44,6881.393
0.824,413.2
0.888,7850.8
0.176,7113.194
0.008,7360.906
0.168,7622.98
0.056,7897.986
0.672,8184.62
0.952,8481.704
1.016,8788.178
1.008,9103.093
1.832,9425.603
1.848,9754.956
0.408,8264.1
1.496,10090.562
0.344,6419.5
0.2,6432.784
0.616,6472.474
0.248,6538.088
0.304,6628.856
0.288,6743.763
0.4,6881.6
0.16,7041.02
0.256,7220.594
0.168,629.5
0.216,7418.858
0.192,7634.357
0.224,7865.674
0.552,8111.456
0.392,8370.428
0.384,8641.406
0.496,8923.294
1.144,9215.093
1.016,9515.891
1.792,9824.86
0.4,752.997
2.096,10141.254
2.0,10464.479
0.24,7049.1
0.0,7061.2
0.304,7097.376
0.208,7157.263
0.168,7240.273
0.464,7345.622
0.152,7472.365
0.176,7619.435
0.432,1038.849
0.392,7785.679
0.12,7969.899
0.08,8170.877
0.224,8387.41
0.56,8618.326
0.24,8862.499
0.104,9118.866
0.688,9386.427
0.808,9664.252
0.808,9951.483
0.12,1390.28
1.92,10247.327
2.392,10551.06
1.912,10862.097
0.56,7678.65
0.552,7689.759
0.768,7722.992
0.32,7778.064
0.36,7854.515
0.576,7951.731
0.056,8068.959
1.008,1768.62
0.296,8205.342
0.264,8359.944
0.264,8719.81
0.632,8923.032
0.136,9140.426
0.416,9613.822
0.512,9867.972
1.072,10132.602
0.768,2159.775
0.56,10406.914
1.28,10690.162
1.784,10981.654
1.768,11280.825
0.552,8229.6
0.36,8239.967
0.904,8270.989
0.536,8322.435
0.232,8393.93
1.008,8484.967
0.448,2557.871
0.136,8594.926
0.152,8723.09
0.52,8868.67
0.048,9030.824
0.088,9208.677
0.6,9401.338
0.312,9607.916
0.72,9827.533
0.256,10059.335
1.064,10302.501
0.256,2960.109
1.048,10556.244
0.624,10819.82
1.2,11092.529
1.712,11373.714
1.84,11662.833
0.6,826.4
0.264,3365.005
0.856,3771.703
0.64,4179.676
0.368,4588.585
0.112,4998.2
0.4,5408.36
0.656,5818.95
0.12,6229.886
0.096,6641.102
0.632,7052.55
0.632,1239.6
0.152,7464.192
0.992,7875.997
0.024,8288.041
0.528,1259.1
0.688,1325.167
0.696,1506.078
0.544,1766.902
0.152,2077.759
0.232,2419.44
0.152,2780.605
0.944,1652.8
0.264,3154.57
0.192,3537.276
0.048,3926.169
0.288,4319.578
0.304,4716.373
0.128,5115.766
0.16,5517.193
0.128,5920.24
0.24,6324.598
0.408,6730.03
0.632,2066.0
0.264,7136.353
0.496,7543.423
0.904,7951.125
0.392,8359.467
0.592,1888.6
0.512,1933.273
0.416,2061.491
0.208,2259.075
0.312,2509.693
0.376,2799.137
1.024,2479.2
0.08,3116.608
0.368,3454.387
0.552,3807.073
0.328,4170.885
0.024,4543.152
0.032,4921.956
0.152,5305.897
0.008,5693.935
0.384,6085.287
0.504,6479.353
0.568,2892.4
0.312,7273.858
0.856,8074.768
0.648,8477.155
0.616,2518.2
0.336,2551.875
0.8,2650.334
0.232,2806.767
0.344,3012.155
0.824,3305.6
0.248,3257.251
0.112,3533.803
0.24,3835.011
0.216,4155.517
0.112,4491.192
0.376,4838.88
0.272,5196.169
0.432,5561.21
0.24,5932.573
0.104,6309.14
0.024,3533.803
0.48,3835.011
0.616,4155.517
0.288,4491.192
0.744,4838.88
0.432,5196.257
0.408,4912.397
0.032,4607.512
0.304,4320.666
0.192,4055.688
0.144,413.2
0.064,3817.136
0.104,3610.252
0.088,3440.753
0.312,3314.379
0.912,3236.187
0.808,3209.7
0.424,3236.187
0.36,3314.379
0.32,3440.753
0.416,3610.252
0.216,826.4
0.624,3817.136
0.136,4055.688
0.008,4320.666
0.192,4607.512
0.48,4912.397
0.696,5232.17
0.848,5564.344
0.704,5345.063
0.424,5066.282
0.08,4806.891
0.184,1239.6
0.352,4570.192
0.24,4359.883
0.4,4179.949
0.816,4034.456
0.432,3927.233
0.008,3861.471
0.112,3839.3
0.696,3927.233
0.224,4034.456
0.56,1652.8
0.56,4179.949
0.44,4359.883
0.248,4570.192
0.112,4806.891
0.032,5066.282
0.632,5345.063
1.16,5640.359
0.872,5949.788
0.384,5813.823
0.296,5558.602
0.768,2066.0
0.104,5323.255
0.2,5110.528
0.336,4923.355
0.624,4764.747
0.48,4637.637
0.496,4544.668
0.464,4487.962
0.528,4468.9
0.312,4487.962
0.736,4544.668
0.416,2479.2
0.256,4637.637
0.376,4764.747
0.32,4923.355
0.544,5110.528
0.256,5323.255
0.16,5558.602
0.784,5813.823
1.712,6086.419
1.36,6374.231
0.048,6310.559
0.248,2892.4
0.32,6076.238
0.288,5861.711
0.248,5669.225
0.664,5501.094
0.064,5359.611
0.408,5246.932
0.568,5164.941
0.448,5115.116
0.576,5098.4
0.448,5115.116
0.272,3305.6
0.592,5164.941
0.144,5246.932
0.128,5359.611
0.216,5501.094
0.528,5669.225
0.64,5861.711
0.376,6076.238
1.296,6310.559
1.848,6562.553
1.256,6830.332
0.416,3718.8
0.152,6881.393
0.28,6667.165
0.08,6472.254
0.464,6298.455
0.488,6147.557
0.136,6021.283
0.576,5921.208
0.568,5848.678
0.336,5804.725
0.152,5790.0
0.232,3305.6
0.296,4132.0
0.416,5804.725
0.584,5848.678
0.424,5921.208
0.536,6021.283
0.08,6147.557
0.36,6298.455
0.424,6472.254
0.416,6667.165
1.24,6881.393
1.256,7113.194
0.184,4545.3
0.904,7360.968
0.248,7418.858
0.392,7220.594
0.024,7041.02
0.344,6881.6
0.288,6743.763
0.304,6628.856
0.192,6538.088
0.432,6472.474
0.336,6432.784
0.424,3771.703
0.376,6419.5
0.4,6432.784
0.368,6472.474
0.04,6538.088
0.2,6628.856
0.208,6743.763
0.096,6881.6
0.552,7041.02
0.424,7220.594
1.2,7418.858
0.192,3365.005
1.504,7634.357
1.408,7865.732
0.352,7969.899
0.592,7785.679
0.288,7619.435
0.384,7472.365
0.424,7345.622
0.128,7240.273
0.44,7157.263
0.416,7097.376
0.16,2960.109
0.2,7061.2
0.472,7049.1
0.512,7061.2
0.368,7097.376
0.032,7157.263
0.352,7240.273
0.488,7345.622
0.096,7472.365
0.216,7619.435
0.216,7785.679
0.712,2557.871
1.328,7969.899
1.8,8170.877
1.32,8387.465
0.032,8531.772
0.04,8359.944
0.176,8205.342
0.272,8068.959
0.232,7951.731
0.016,7854.515
0.536,7778.064
0.416,2159.775
0.296,7722.992
0.328,7689.759
0.328,7689.759
0.04,7722.992
0.456,7778.064
0.176,7951.731
0.08,8068.959
0.48,8205.342
0.176,1768.62
0.032,8359.944
0.688,8531.772
1.192,8719.81
1.176,8923.083
0.04,9030.824
0.232,8868.67
0.312,8723.09
0.056,8594.926
0.36,8484.967
0.416,8393.93
0.144,1390.28
0.728,8322.435
0.44,8270.989
0.072,8239.967
0.544,8229.6
0.504,8239.967
0.008,8270.989
0.28,8322.435
0.128,8393.93
0.336,8484.967
0.472,8594.926
0.336,1038.849
0.456,8723.09
0.032,8868.67
0.608,9030.824
1.12,9208.677
1.248,9401.387
0.008,2892.4
0.328,752.997
0.264,629.5
0.048,752.997
0.224,1038.849
0.704,1390.28
0.192,1768.62
1.248,2159.775
0.472,2557.871
0.688,2960.109
1.224,3365.005
0.04,2479.2
0.44,3771.703
0.4,4179.676
0.616,4588.684
0.064,3926.169
0.096,3537.276
0.104,3154.57
0.048,2780.605
0.44,2419.44
0.36,2077.759
0.44,1766.902
0.352,2066.0
0.328,1506.078
0.4,1325.167
0.544,1259.1
0.304,1325.167
0.288,1506.078
0.464,1766.902
0.752,2077.759
0.72,2419.44
0.352,2780.605
0.184,3154.57
0.04,1652.8
0.328,3537.276
0.096,3926.169
0.312,4319.578
0.2,4716.47
0.0,4170.885
0.08,3807.073
0.176,3454.387
0.384,3116.608
0.28,2799.137
0.216,2509.693
0.432,1239.6
0.672,2259.075
0.224,2061.491
0.04,1933.273
0.264,1888.6
0.568,1933.273
0.624,2061.491
0.44,2259.075
0.6,2509.693
0.976,2799.137
0.088,3116.608
0.024,826.4
0.904,3807.073
0.264,4543.152
0.056,4922.049
0.024,4491.192
0.256,4155.517
0.208,3835.011
0.36,3533.803
0.248,3257.251
0.232,413.2
0.344,3012.155
0.48,2806.767
0.352,2650.334
0.376,2551.875
0.48,2518.2
0.216,2551.875
0.32,2650.334
0.16,2806.767
0.352,3012.155
0.696,3257.251
0.456,413.2
0.592,826.4
0.312,1239.6
0.768,1652.8
0.456,2066.1
0.384,6236.455
0.056,5825.983
0.28,5415.926
0.168,5006.386
0.12,3257.251
0.04,4597.501
0.128,4189.463
0.064,3782.545
0.288,3377.153
0.888,2973.912
0.784,2573.831
0.4,2178.653
0.336,1791.625
0.296,1419.43
0.392,1077.548
0.192,3012.155
0.6,805.547
0.112,691.5
0.016,805.547
0.216,1077.548
0.504,1419.43
0.72,1791.625
0.872,2178.748
0.68,6337.232
0.4,5933.735
0.056,5531.672
0.16,2806.767
0.328,5131.378
0.216,4733.302
0.376,4338.056
0.792,3946.489
0.408,3559.817
0.016,3179.824
0.088,2809.224
0.672,2115.905
0.2,1811.605
0.536,2650.334
0.536,1558.282
0.416,1384.211
0.272,1321.1
0.136,1384.211
0.056,1558.282
0.656,1811.605
1.184,2115.905
0.896,2452.361
0.36,6497.725
0.272,6104.846
0.744,2551.875
0.128,5714.833
0.176,5328.317
0.312,4946.117
0.6,4569.317
0.456,4199.369
0.472,3838.258
0.44,3488.726
0.504,3154.626
0.288,2841.406
0.712,2556.752
0.392,2518.2
0.232,2311.242
0.352,2118.53
0.296,1993.982
0.568,1950.7
0.28,1993.982
0.136,2118.53
0.808,2311.242
1.736,2556.752
1.384,2841.478
0.024,6713.616
0.224,2551.875
0.296,6334.141
0.264,5959.154
0.224,5589.558
0.64,5226.497
0.04,4871.433
0.384,4526.246
0.544,4193.379
0.424,3876.004
0.552,3578.249
0.424,3305.418
0.248,2650.334
0.568,3064.177
0.12,2862.523
0.104,2709.312
0.192,2613.076
0.552,2580.2
0.664,2613.076
0.4,2709.312
1.32,2862.523
1.872,3064.177
1.28,3305.48
0.392,2806.767
0.128,7008.558
0.256,6645.945
0.056,6289.576
0.44,5940.573
0.464,5600.314
0.112,5270.493
0.552,4953.196
0.544,4650.986
0.312,4366.996
0.128,4105.01
0.256,6309.14
0.32,3012.155
0.392,3869.5
0.56,3665.573
0.4,3498.755
0.512,3374.554
0.104,3297.789
0.384,3271.8
0.448,3297.789
0.44,3374.554
1.264,3498.755
1.28,3665.573
0.16,3257.315
0.928,3869.554
0.224,7323.616
0.368,6977.396
0.048,6638.842
0.32,6309.19
0.264,5989.907
0.28,5682.743
0.168,5389.769
0.408,5113.427
0.312,4856.554
0.4,6479.382
0.352,4622.399
0.376,4414.578
0.344,4236.967
0.016,4093.501
0.176,3987.866
0.184,3923.121
0.072,3901.3
0.576,3923.121
0.448,3987.866
1.224,4093.501
0.168,6085.318
1.528,4236.967
1.432,4414.625
0.328,7677.516
0.568,7347.991
0.264,7027.314
0.36,6716.754
0.4,6417.78
0.104,6132.086
0.416,5861.615
0.392,5608.569
0.136,5693.968
0.176,5375.41
0.448,5164.832
0.488,4979.7
0.344,4822.945
0.008,4697.41
0.328,4605.648
0.464,4549.702
0.12,4530.9
0.24,4549.702
0.24,4605.648
0.688,5305.932
1.352,4697.41
1.824,4822.945
1.344,4979.741
0.008,8065.076
0.016,7752.042
0.2,7448.78
0.248,7156.534
0.208,6876.706
0.008,6610.875
0.512,6360.795
0.44,4921.995
0.272,6128.396
0.304,5915.76
0.304,5558.651
0.064,5418.671
0.432,5307.245
0.152,5176.966
0.056,5160.45
0.504,5176.966
0.2,4543.194
0.008,5226.201
0.712,5307.245
1.216,5418.671
1.2,5558.688
0.016,8428.244
0.208,8129.207
0.336,7840.547
0.032,7563.453
0.336,7299.242
0.44,7049.363
0.12,4170.93
0.704,6815.392
0.416,6599.021
0.048,6402.036
0.52,6226.277
0.48,6073.586
0.032,5945.741
0.256,5844.373
0.152,5770.877
0.312,5726.327
0.496,5711.4
0.312,3807.122
0.48,5726.327
0.056,5770.877
0.632,5844.373
1.144,5945.741
1.272,6073.62
0.032,5932.573
0.304,3454.441
0.288,3116.668
0.072,2799.204
0.2,2509.768
0.68,2259.158
0.168,2061.583
1.224,1933.371
0.448,1888.7
0.664,1933.371
1.2,2061.583
0.064,5561.21
0.416,2259.158
0.424,2509.768
0.592,2799.278
0.04,6324.598
0.12,5920.24
0.128,5517.193
0.024,5115.766
0.416,4716.373
0.336,4319.578
0.416,3926.169
0.376,5196.169
0.304,3537.276
0.376,3154.57
0.52,2780.605
0.28,2419.44
0.264,2077.759
0.44,1766.902
0.728,1506.078
0.696,1325.167
0.328,1259.1
0.16,1325.167
0.064,4838.88
0.304,1506.078
0.072,1766.902
0.336,2077.759
0.176,2419.525
0.024,6229.896
0.056,5818.961
0.152,5408.372
0.36,4998.212
0.256,4588.599
0.192,4179.691
0.456,4491.192
0.648,3771.72
0.2,3365.024
0.016,2960.131
0.24,2557.895
0.544,2159.804
0.6,1768.656
0.416,1390.325
0.576,1038.91
0.952,753.081
0.064,629.6
0.0,4155.517
0.88,1038.91
0.288,1768.656
0.08,2159.899
0.048,6198.0
0.232,5784.8
0.232,5371.6
0.336,4958.4
0.224,4545.2
0.256,3835.011
0.32,4132.0
0.456,3718.8
0.328,3305.6
0.352,2892.4
0.456,2479.2
0.192,2066.0
0.296,1652.8
0.136,1239.6
0.328,826.4
0.672,413.2
0.136,413.2
0.768,826.4
1.224,1239.6
0.912,1652.9
0.072,6647.265
0.512,6236.455
0.176,5825.983
0.288,5415.926
0.336,3533.803
0.416,5006.386
0.584,4597.501
0.392,4189.463
0.168,3782.545
0.432,3377.153
0.328,2973.912
0.056,2573.831
0.12,2178.653
0.16,1791.625
0.064,1419.43
0.264,3257.251
0.144,1077.548
0.344,805.547
0.472,691.5
0.672,805.547
0.96,1077.548
1.176,1419.43
1.328,1791.717
0.224,6741.904
0.056,6337.232
0.4,5933.735
0.296,3012.155
0.128,5531.672
0.24,5131.378
0.08,4733.302
0.336,4338.056
0.048,3946.489
0.472,3559.817
0.368,3179.824
0.216,2452.277
0.256,2115.905
0.08,2806.767
0.08,1811.605
0.04,1558.282
0.728,1384.211
0.592,1321.1
0.512,1384.211
1.112,1558.282
1.64,1811.605
1.352,2115.983
0.096,6892.982
0.184,6497.725
0.288,2650.334
0.584,6104.846
0.28,5714.833
0.144,5328.317
0.144,4946.117
0.0,4569.317
0.016,4199.369
0.016,3838.258
0.048,3488.726
0.168,3154.626
0.256,2841.406
0.064,2551.875
0.224,2556.752
0.104,2311.242
0.16,2118.53
1.024,1993.982
0.736,1950.7
0.32,1993.982
1.264,2118.53
2.192,2311.242
1.84,2556.816
0.432,7096.858
0.232,2518.2
0.16,6713.616
0.192,6334.141
0.232,5959.154
0.184,5589.558
0.416,5226.497
0.072,4871.433
0.088,4526.246
0.032,4193.379
0.096,3876.004
0.032,3578.249
0.208,2551.875
0.112,3305.418
0.336,3064.177
0.352,2862.523
0.264,2709.312
1.008,2613.076
1.12,2580.2
0.856,2613.076
1.776,2709.312
2.328,2862.523
1.736,3064.231
0.064,2650.334
0.328,7376.492
0.2,7008.558
0.4,6645.945
0.016,6289.576
0.008,5940.573
0.344,5600.314
0.096,5270.493
0.088,4953.196
0.144,4650.986
0.328,4366.996
0.712,6690.033
0.776,2806.767
0.064,4105.01
0.104,3869.5
